,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
1175,0380789035,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
1194,0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
1195,0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg
1202,0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373484224.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373484224.01.LZZZZZZZ.jpg
1207,0380789019,Neverwhere,Neil Gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
1209,0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,http://images.amazon.com/images/P/0380018179.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380018179.01.LZZZZZZZ.jpg
1213,067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,http://images.amazon.com/images/P/067101420X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067101420X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067101420X.01.LZZZZZZZ.jpg
1220,0786866276,Mother of Pearl,Melinda Haynes,1999,Hyperion,http://images.amazon.com/images/P/0786866276.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786866276.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786866276.01.LZZZZZZZ.jpg
1281,0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor,http://images.amazon.com/images/P/0385720920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg
1284,0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,http://images.amazon.com/images/P/0380813815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg
1289,0140099832,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm),http://images.amazon.com/images/P/0140099832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140099832.01.LZZZZZZZ.jpg
1306,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books,http://images.amazon.com/images/P/1573225789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225789.01.LZZZZZZZ.jpg
1312,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
1324,0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,http://images.amazon.com/images/P/0385335881.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg
1325,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
1326,0553258001,The Cider House Rules,John Irving,1986,Bantam Books,http://images.amazon.com/images/P/0553258001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553258001.01.LZZZZZZZ.jpg
1337,0373218400,Table For Two,Nora Roberts,2002,Silhouette,http://images.amazon.com/images/P/0373218400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218400.01.LZZZZZZZ.jpg
1352,0441003257,Good Omens,Neil Gaiman,1996,Ace Books,http://images.amazon.com/images/P/0441003257.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441003257.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441003257.01.LZZZZZZZ.jpg
1373,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
1374,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
1376,0671038184,Jewel,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg
1387,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
1398,038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta,http://images.amazon.com/images/P/038531258X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038531258X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038531258X.01.LZZZZZZZ.jpg
1401,0743225406,The Shipping News : A Novel,Annie Proulx,2001,Scribner,http://images.amazon.com/images/P/0743225406.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743225406.01.LZZZZZZZ.jpg
1406,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
1420,037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037570504X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037570504X.01.LZZZZZZZ.jpg
1435,0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg
1460,0385324057,Summer Sisters,Judy Blume,1998,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385324057.01.LZZZZZZZ.jpg
1484,014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,http://images.amazon.com/images/P/014025448X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
1485,0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
1486,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
1488,0679772677,A Civil Action,JONATHAN HARR,1996,Vintage,http://images.amazon.com/images/P/0679772677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679772677.01.LZZZZZZZ.jpg
1489,0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983824.01.LZZZZZZZ.jpg
1494,0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440224624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224624.01.LZZZZZZZ.jpg
1496,0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
1505,0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket,http://images.amazon.com/images/P/0671004565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004565.01.LZZZZZZZ.jpg
1506,0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books,http://images.amazon.com/images/P/0345370805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345370805.01.LZZZZZZZ.jpg
1507,0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books,http://images.amazon.com/images/P/0375703055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703055.01.LZZZZZZZ.jpg
1511,0312243022,The Hours : A Novel,Michael Cunningham,2000,Picador,http://images.amazon.com/images/P/0312243022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.LZZZZZZZ.jpg
1517,0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
1518,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
1531,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
1534,0671032658,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671032658.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg
1553,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
1571,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
1572,038039586X,Watership Down,Richard George Adams,1975,Harpercollins,http://images.amazon.com/images/P/038039586X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038039586X.01.LZZZZZZZ.jpg
1595,0671042262,The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket,http://images.amazon.com/images/P/0671042262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
1596,0425157539,Sudden Prey,John Sandford,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425157539.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425157539.01.LZZZZZZZ.jpg
1612,0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
1644,0316693324,When the Wind Blows,James Patterson,1998,Replica Books,http://images.amazon.com/images/P/0316693324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693324.01.LZZZZZZZ.jpg
1682,031231616X,I Capture the Castle,Dodie Smith,2003,St. Martin's Griffin,http://images.amazon.com/images/P/031231616X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031231616X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031231616X.01.LZZZZZZZ.jpg
1684,089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co,http://images.amazon.com/images/P/089480829X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg
1694,0062502174,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1993,HarperSanFrancisco,http://images.amazon.com/images/P/0062502174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062502174.01.LZZZZZZZ.jpg
1695,0688177751,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000,Perennial,http://images.amazon.com/images/P/0688177751.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688177751.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688177751.01.LZZZZZZZ.jpg
1696,0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
1714,0399145087,Black Notice,Patricia Daniels Cornwell,1999,Putnam Pub Group,http://images.amazon.com/images/P/0399145087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399145087.01.LZZZZZZZ.jpg
1727,0312990456,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
1757,0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
1777,0553572997,The Alienist,Caleb Carr,1995,Bantam Books,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
1779,0380727501,Notes from a Small Island,Bill Bryson,1997,Perennial,http://images.amazon.com/images/P/0380727501.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.LZZZZZZZ.jpg
1785,0440208912,Harvest,BELVA PLAIN,1991,Dell,http://images.amazon.com/images/P/0440208912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.LZZZZZZZ.jpg
1787,0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette,http://images.amazon.com/images/P/0373218192.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg
1792,0385494785,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,Anchor,http://images.amazon.com/images/P/0385494785.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385494785.01.LZZZZZZZ.jpg
1793,0385486804,Into the Wild,Jon Krakauer,1997,Anchor,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg
1821,0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425158616.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.LZZZZZZZ.jpg
1828,0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
1836,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket,http://images.amazon.com/images/P/0671537458.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671537458.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671537458.01.LZZZZZZZ.jpg
1854,0425161242,Chromosome 6,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425161242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.LZZZZZZZ.jpg
1859,0425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425169863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169863.01.LZZZZZZZ.jpg
1860,0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
1862,0316690619,Cradle and All,James Patterson,2000,Little Brown and Company,http://images.amazon.com/images/P/0316690619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316690619.01.LZZZZZZZ.jpg
1863,0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
1871,0679459626,Flesh and Blood,Jonathan Kellerman,2001,Random House,http://images.amazon.com/images/P/0679459626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679459626.01.LZZZZZZZ.jpg
1926,0743457358,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Pocket,http://images.amazon.com/images/P/0743457358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743457358.01.LZZZZZZZ.jpg
1945,0425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425167313.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.LZZZZZZZ.jpg
1947,034540288X,The Lost World,Michael Crichton,1996,Ballantine Books,http://images.amazon.com/images/P/034540288X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.LZZZZZZZ.jpg
1962,0446519960,Absolute Power,David Baldacci,1996,Warner Books,http://images.amazon.com/images/P/0446519960.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446519960.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446519960.01.LZZZZZZZ.jpg
1975,0316182540,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
1984,0553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam,http://images.amazon.com/images/P/0553282476.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553282476.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553282476.01.LZZZZZZZ.jpg
1985,0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,http://images.amazon.com/images/P/0449212602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
1988,0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,http://images.amazon.com/images/P/0345413903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413903.01.LZZZZZZZ.jpg
1994,0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,http://images.amazon.com/images/P/0553582143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.LZZZZZZZ.jpg
2030,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425115801.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425115801.01.LZZZZZZZ.jpg
2033,0671024248,Hearts In Atlantis,Stephen King,2000,Pocket,http://images.amazon.com/images/P/0671024248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671024248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671024248.01.LZZZZZZZ.jpg
2034,0553582933,Winter Moon,Dean R. Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582933.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582933.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582933.01.LZZZZZZZ.jpg
2035,0671034022,Mercy,Julie Garwood,2002,Pocket,http://images.amazon.com/images/P/0671034022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671034022.01.LZZZZZZZ.jpg
2039,0446607711,The Simple Truth,David Baldacci,1999,Warner Books,http://images.amazon.com/images/P/0446607711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446607711.01.LZZZZZZZ.jpg
2078,0446525804,Last Man Standing,David Baldacci,2001,Warner Books,http://images.amazon.com/images/P/0446525804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446525804.01.LZZZZZZZ.jpg
2104,0451524934,1984,George Orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
2122,0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
2127,0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
2128,0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
2129,0743482891,Now You See Her,Linda Howard,2003,Pocket Books,http://images.amazon.com/images/P/0743482891.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743482891.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743482891.01.LZZZZZZZ.jpg
2143,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
2160,0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,http://images.amazon.com/images/P/0316089699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316089699.01.LZZZZZZZ.jpg
2180,0884092097,Kaleidoscope,June Stepansky,2000,A Different Voice Publishing Co.,http://images.amazon.com/images/P/0884092097.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0884092097.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0884092097.01.LZZZZZZZ.jpg
